일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2019-01-02,2010,-31.04,-1.52,2050.55,2053.45,2004.27,326368,4295872,1.32E+09
2019-01-03,1993.7,-16.3,-0.81,2011.81,2014.72,1991.65,427976,5358519,1.31E+09
2019-01-04,2010.25,16.55,0.83,1992.4,2011.56,1984.53,408991,5490148,1.32E+09
2019-01-07,2037.1,26.85,1.34,2034.24,2048.06,2030.9,440191,5301385,1.34E+09
2019-01-08,2025.27,-11.83,-0.58,2038.68,2042.7,2023.59,397831,4826642,1.33E+09
2019-01-09,2064.71,39.44,1.95,2034.19,2068.23,2034.19,386248,5532689,1.36E+09
2019-01-10,2063.28,-1.43,-0.07,2065.73,2072.81,2057.16,382877,5434257,1.36E+09
2019-01-11,2075.57,12.29,0.6,2070.36,2076.99,2063.99,380061,4592461,1.37E+09
2019-01-14,2064.52,-11.05,-0.53,2070.49,2073.94,2059.46,432891,4941021,1.36E+09
2019-01-15,2097.18,32.66,1.58,2069.14,2098.01,2067.58,439489,5236964,1.38E+09
2019-01-16,2106.1,8.92,0.43,2098.65,2106.35,2091.92,500078,5352467,1.39E+09
2019-01-17,2107.06,0.96,0.05,2110.14,2117.43,2101.7,475885,5857767,1.39E+09
2019-01-18,2124.28,17.22,0.82,2116.43,2124.5,2113.44,456738,5356125,1.40E+09
2019-01-21,2124.61,0.33,0.02,2133.87,2134.17,2114.45,398035,5320635,1.40E+09
2019-01-22,2117.77,-6.84,-0.32,2126.03,2129.37,2108.91,419441,4897406,1.40E+09
2019-01-23,2127.78,10.01,0.47,2108.72,2131.05,2106.74,408600,5170562,1.40E+09
2019-01-24,2145.03,17.25,0.81,2127.88,2145.08,2125.48,413652,6035836,1.42E+09
2019-01-25,2177.73,32.7,1.52,2147.92,2178.01,2146.64,410002,7065652,1.44E+09
2019-01-28,2177.3,-0.43,-0.02,2184.41,2188.15,2169.17,371619,6060559,1.44E+09
2019-01-29,2183.36,6.06,0.28,2172.83,2183.36,2162.53,552587,6504583,1.44E+09
2019-01-30,2206.2,22.84,1.05,2183.49,2206.2,2177.88,480390,6875693,1.46E+09
2019-01-31,2204.85,-1.35,-0.06,2222.88,2222.88,2201.22,545248,7762307,1.46E+09
2019-02-01,2203.46,-1.39,-0.06,2211.93,2218.78,2201.41,479379,6874000,1.45E+09
2019-02-07,2203.42,-0.04,0,2215.77,2215.79,2196.77,427843,6339361,1.45E+09
2019-02-08,2177.05,-26.37,-1.2,2192.01,2192.48,2171.96,391029,5728530,1.44E+09
2019-02-11,2180.73,3.68,0.17,2180.54,2181.58,2167.36,406060,5327610,1.44E+09
2019-02-12,2190.47,9.74,0.45,2182.71,2195.05,2178.59,429940,5929463,1.45E+09
