Date,Total_Value,Market_Weather,Index,Long_only
2019-01-02,96754246,60.36203761,56754246,96754246
2019-01-03,96602859,60.25981019,56602859,96602859
2019-01-04,96999657,61.40878876,56999657,96999657
2019-01-07,97880593,62.68855695,57880593,97880593
2019-01-08,97513354,62.22541089,57513354,97513354
2019-01-09,98607629,63.60107436,58607629,98607629
2019-01-10,98573205,63.40183311,58573205,98573205
2019-01-11,98839377,63.66543183,58839377,98839377
2019-01-14,98480904,62.71471214,58480904,98480904
2019-01-15,99608239,63.50584325,59608239,99608239
2019-01-16,99978431,63.84928879,59978431,99978431
2019-01-17,100170958,63.3209845,60170958,100170958
2019-01-18,100417912,64.18354061,60417912,100417912
2019-01-21,100137393,63.67847706,60137393,100137393
2019-01-22,100117880,62.99824936,60117880,100117880
2019-01-23,100457649,63.28223604,60457649,100457649
2019-01-24,100730286,64.30788885,60730286,100730286
2019-01-25,101647715,64.93498929,61647715,101647715
2019-01-28,101502857,64.27548044,61502857,101502857
2019-01-29,101685655,64.10700226,61685655,101685655
2019-01-30,102246647,63.32479304,62246647,102246647
2019-01-31,102187140,64.29986179,62187140,102187140
2019-02-01,102108578,64.58870171,62108578,102108578
2019-02-07,102068189,64.49754834,62068189,102068189
2019-02-08,101471737,63.32805806,61471737,101471737
2019-02-11,101670640,63.31401188,61670640,101670640
2019-02-12,101801709,63.54547893,61801709,101801709
2019-02-13,102243019,63.12322611,62243019,102243019
2019-02-14,102795223,65.49304956,62795223,102795223
2019-02-15,102004154,63.87229452,62004154,102004154
2019-02-18,102532798,64.25187701,62532798,102532798
2019-02-19,102288497,63.25818392,62288497,102288497
2019-02-20,102977002,64.44556358,62977002,102977002
2019-02-21,103007185,64.37325562,63007185,103007185
2019-02-22,102916772,64.58778956,62916772,102916772
2019-02-25,102884419,64.23415958,62884419,102884419
2019-02-26,102712300,63.88203094,62712300,102712300
2019-02-27,103106173,64.15767344,63106173,103106173
2019-02-28,102466311,61.87644657,62466311,102466311
2019-03-04,101968751,62.04882254,61968751,101968751
2019-03-05,101636103,61.8009736,61636103,101636103
2019-03-06,101797214,61.81095949,61797214,101797214
2019-03-07,101310831,61.40503355,61310831,101310831
2019-03-08,100381690,59.85481518,60381690,100381690
2019-03-11,100364760,59.56157336,60364760,100364760
2019-03-12,100696773,61.05848142,60696773,100696773
2019-03-13,100499327,60.57217925,60499327,100499327
2019-03-14,100667427,61.49841211,60667427,100667427
2019-03-15,101418720,62.5082197,61418720,101418720
2019-03-18,101750093,62.34752464,61750093,101750093
2019-03-19,101638334,62.40483531,61638334,101638334
2019-03-20,101553189,61.99454296,61553189,101553189
2019-03-21,101551470,62.5733935,61551470,101551470
2019-03-22,101524307,62.88052236,61524307,101524307
2019-03-25,100268504,59.69868206,60268504,100268504
2019-03-26,100494757,60.03521859,60494757,100494757
2019-03-27,100455649,60.04000331,60455649,100455649
