순위,종목코드,종목명,시장구분,종가,대비,등락률,거래량,거래대금,시가총액,시가총액비중,상장주식수
1,5930,삼성전자,KOSPI,2551000,3000,0.12,169485,4.32677E+11,3.2933E+14,20.41,129098494
2,660,SK하이닉스,KOSPI,76600,100,0.13,2014838,1.54679E+11,5.5765E+13,3.46,728002365
3,5935,삼성전자우,KOSPI,2097000,7000,0.33,21940,45532420000,3.82715E+13,2.37,18250580
4,5380,현대차,KOSPI,149500,-6500,-4.17,731763,1.10424E+11,3.29313E+13,2.04,220276479
5,5490,POSCO,KOSPI,339000,6500,1.95,153013,51616111000,2.95563E+13,1.83,87186835
6,35420,NAVER,KOSPI,885000,15000,1.72,93587,82418272700,2.9172E+13,1.81,32962679
7,51910,LG화학,KOSPI,411000,6000,1.48,153739,63093271500,2.90135E+13,1.8,70592343
8,105560,KB금융,KOSPI,63100,-300,-0.47,576658,36400428500,2.63828E+13,1.64,418111537
9,207940,삼성바이오로직스,KOSPI,389500,18500,4.99,409343,1.56426E+11,2.57713E+13,1.6,66165000
10,12330,현대모비스,KOSPI,257000,-6000,-2.28,181417,46915453500,2.50174E+13,1.55,97343863
11,32830,삼성생명,KOSPI,122500,-2000,-1.61,115903,14245222500,2.45E+13,1.52,200000000
12,15760,한국전력,KOSPI,37750,-400,-1.05,1122223,42243593100,2.42341E+13,1.5,641964077
13,28260,삼성물산,KOSPI,127500,1500,1.19,213139,27055498500,2.41855E+13,1.5,189690043
14,55550,신한지주,KOSPI,49400,0,0,533652,26393700750,2.34255E+13,1.45,474199587
15,17670,SK텔레콤,KOSPI,265500,-1500,-0.56,84282,22497122000,2.1438E+13,1.33,80745711
16,34730,SK,KOSPI,283000,0,0,72788,20431541500,1.9912E+13,1.23,70360297
17,96770,SK이노베이션,KOSPI,206500,2000,0.98,139383,28624032500,1.90941E+13,1.18,92465564
18,51900,LG생활건강,KOSPI,1200000,11000,0.93,14662,17583952000,1.87418E+13,1.16,15618197
19,90430,아모레퍼시픽,KOSPI,312500,8000,2.63,96717,30186243500,1.82683E+13,1.13,58458490
20,66570,LG전자,KOSPI,109500,3500,3.3,948226,1.03094E+11,1.79194E+13,1.11,163647814
21,251270,넷마블게임즈,KOSPI,188500,0,0,116732,21973030000,1.60275E+13,0.99,85026385
22,33780,KT&G,KOSPI,115000,-500,-0.43,171525,19664547500,1.57886E+13,0.98,137292497
23,3550,LG,KOSPI,90800,-200,-0.22,175563,15882125100,1.56682E+13,0.97,172557131
24,18260,삼성에스디에스,KOSPI,202000,2000,1,95724,19150767000,1.56303E+13,0.97,77377800
25,86790,하나금융지주,KOSPI,50900,1100,2.21,569430,28715150050,1.50666E+13,0.93,296003062
26,6400,삼성SDI,KOSPI,212000,7500,3.67,256209,53909563500,1.45781E+13,0.9,68764530
27,270,기아차,KOSPI,32800,-700,-2.09,972622,31878463750,1.32959E+13,0.82,405363347
28,10950,S-Oil,KOSPI,117000,0,0,158674,18573855000,1.31722E+13,0.82,112582792
29,810,삼성화재,KOSPI,265500,-1500,-0.56,45072,11946802000,1.2578E+13,0.78,47374837
30,11170,롯데케미칼,KOSPI,360500,-7500,-2.04,92533,33566275000,1.23563E+13,0.77,34275419
